Field Name,Description,Data Type,Length,Example/Notes
IHIVI,Shelf Life Indicator,CHAR,1,X (Yes)
ILOOS,Dangerous Goods (Packaged),CHAR,1,X (Yes)
SERLV,Serial Number Level,CHAR,1,B (Batch-Level)
KZGVH,Generic Material,CHAR,1,X (Yes)
XGCHP,GHP Indicator,CHAR,1,X (Good Handling Practice)
KZEFF,Material Is Batch Managed,CHAR,1,X (Yes)
COMPL,Material Completion Status,CHAR,1,C (Complete)
IPRKZ,Period Indicator for Shelf Life,CHAR,1,D (Days)
RDMHD,Minimum Remaining Shelf Life,DEC,5,30 (Days)
PRZUS,Usage Indicator,CHAR,1,P (Production)
MTPOS,Item Category Group,CHAR,4,NORM (Standard Items)
BFLME,Material Usage,CHAR,1,P (Production)
MATFI,Material Is Fixed,CHAR,1,X (Yes)
CMREL,Status Configurable Material,CHAR,10,REL (Released)
BBTYP,Procurement Type,CHAR,1,F (Production)
SLED_BBD,Shelf Life Expiration Date,DATS,8,20251231
GTIN_VAR,GTIN Variant,CHAR,2,1
GENNR,Generic Material Number,CHAR,18,GEN-1000
RMATP,Reference Material,CHAR,18,REF-500
GDS_RELEVANT,GDS-Relevant Material,CHAR,1,X (Yes)
WEORA,Goods Receipt Processing Time,QUAN,3,24 (Hours)
HUTYP,HU Type,CHAR,10,HU01
PILFERABLE,Pilferable Item,CHAR,1,X (Yes)
WHSTC,Warehouse Storage Condition,CHAR,3,H01
WHMATGR,Warehouse Material Group,CHAR,3,WMG1
HNDLCODE,Handling Indicator,CHAR,4,FLC (Fragile/Liquid)
HAZMAT,Hazardous Material,CHAR,1,X (Yes)
HUTYP_DEFAULT,Default HU Type,CHAR,10,HU_STD
MCRUE,Material Is MRP-Relevant,CHAR,1,X (Yes)
